lunch @ 1130?,lunch
are you going out for lunch today?,lunch
are we doing lunch today?,lunch
lunch plans?,lunch
what are you doing for lunch?  i'm prob going to go grab some subway and bring it back if you want anything,lunch
you going to lunch today?,lunch
you guys doing lunch today?,lunch
you guys lunching?,lunch
How about Indian restaurants today ?,lunch
you in for lunch today?,lunch
you too... coming in for lunch?,lunch
how about north indian lunch today ?,lunch
spicy hyderabad biriyani ?,lunch
leave for china express @ noon?,lunch
anjappar ?,lunch
carmen's?,lunch
south indian lunch today ?,lunch
moes?,lunch
in the mood for lime today?,lunch
We're planning for lunch on Friday- correct?,lunch
so where's lunch today?,lunch
bring your lunch today?,lunch
anyone heading to lunch?,lunch
How about A2B?,lunch
how about brixx?,lunch
anyone want to try mediterranean today?,lunch
greek fiesta - any objections?,lunch
what time are we going to lunch?  i have a cube visitor,lunch
Can I call?,other
Do I need to assign a change set in order to check in?,other
Andrew- short call?,other
Andrew- u have extra shinguard?,other
let's chat after I grab some lunch .. you have some time this afternoon?,other
when do you want me to call in? I haven't had lunch yet,other
when does the code need to fork off new processes?,other
So what are you working on today?,other
Sorry- can we move our meeting to early next week?,other
You know how to find this?,other
You used the latest code?,other
a call ok ?,other
actually are you free?,other
what time?,other
so is it fixed?,other
aha ... want to try it?,other
Hi Michael.  This is for the co-ed league?,other
I don't know where that's specified for the tests.  Do they have a run config?,other
I need 90 minutes on your calendar tomorrow. What can you free up?,other
are you in your cube?,other
as site admin?,other
do you have the draft?,other
hi Andrew- is there a schema that has some mock data in it?,other
ok. what's your number?,other
ok...which topic?,other
one more ... where are these files located?,other
which file?,other
are we doing carpool tomorrow?,other
